CHR_promoter	startPOS_promoter	endPOS_promoter	source_promoter	CHR_mir	startPOS_mir	endPOS_mir	kind_mir	score_mir	strand_mir	annotation_mir
chr1	14869	17436	miRBase_v22_upstream_2k5	chr1	17369	17436	miRNA_primary_transcript	1	-	ID=MI0022705;Alias=MI0022705;Name=hsa-mir-6859-1
chr1	27866	30503	miRBase_v22_upstream_2k5	chr1	30366	30503	miRNA_primary_transcript	1	+	ID=MI0006363;Alias=MI0006363;Name=hsa-mir-1302-2
chr1	565495	568065	miRBase_v22_upstream_2k5	chr1	567995	568065	miRNA_primary_transcript	1	-	ID=MI0039740;Alias=MI0039740;Name=hsa-mir-12136
chr1	1100219	1102804	Chesi, A. et al.	chr1	1102484	1102578	miRNA_primary_transcript	1	+	ID=MI0000342;Alias=MI0000342;Name=hsa-mir-200b
chr1	1102804	1104284	Chesi, A. et al.	chr1	1103243	1103332	miRNA_primary_transcript	1	+	ID=MI0000737;Alias=MI0000737;Name=hsa-mir-200a
chr1	1104284	1104469	Chesi, A. et al.	chr1	1104385	1104467	miRNA_primary_transcript	1	+	ID=MI0001641;Alias=MI0001641;Name=hsa-mir-429
chr1	1231450	1234336	Chesi, A. et al.	chr1	1231490	1231550	miRNA_primary_transcript	1	-	ID=MI0022571;Alias=MI0022571;Name=hsa-mir-6726
chr1	1247831	1248179	Chesi, A. et al.	chr1	1247882	1247946	miRNA_primary_transcript	1	-	ID=MI0022572;Alias=MI0022572;Name=hsa-mir-6727
chr1	1274259	1275129	Chesi, A. et al.	chr1	1275030	1275088	miRNA_primary_transcript	1	-	ID=MI0022653;Alias=MI0022653;Name=hsa-mir-6808
chr1	3044160	3044662	Chesi, A. et al.	chr1	3044539	3044599	miRNA_primary_transcript	1	+	ID=MI0015861;Alias=MI0015861;Name=hsa-mir-4251
chr1	3477195	3478517	Chesi, A. et al.	chr1	3477259	3477354	miRNA_primary_transcript	1	-	ID=MI0003556;Alias=MI0003556;Name=hsa-mir-551a
chr1	5922546	5923387	Chesi, A. et al.	chr1	5922732	5922801	miRNA_primary_transcript	1	-	ID=MI0017322;Alias=MI0017322;Name=hsa-mir-4689
chr1	6487394	6489956	miRBase_v22_upstream_2k5	chr1	6489894	6489956	miRNA_primary_transcript	1	-	ID=MI0015864;Alias=MI0015864;Name=hsa-mir-4252
chr1	8926494	8926803	Chesi, A. et al.	chr1	8926561	8926649	miRNA_primary_transcript	1	-	ID=MI0022573;Alias=MI0022573;Name=hsa-mir-6728
chr1	9210706	9211953	Chesi, A. et al.	chr1	9211727	9211836	miRNA_primary_transcript	1	-	ID=MI0000268;Alias=MI0000268;Name=hsa-mir-34a
chr1	10024939	10027516	miRBase_v22_upstream_2k5	chr1	10027439	10027516	miRNA_primary_transcript	1	+	ID=MI0019304;Alias=MI0019304;Name=hsa-mir-5697
chr1	12089003	12089868	Chesi, A. et al.	chr1	12089215	12089279	miRNA_primary_transcript	1	+	ID=MI0022574;Alias=MI0022574;Name=hsa-mir-6729
chr1	12226678	12228368	Chesi, A. et al.	chr1	12227000	12227095	miRNA_primary_transcript	1	+	ID=MI0025516;Alias=MI0025516;Name=hsa-mir-7846
chr1	12251737	12252208	Chesi, A. et al.	chr1	12251770	12251830	miRNA_primary_transcript	1	+	ID=MI0017259;Alias=MI0017259;Name=hsa-mir-4632
chr1	12638584	12639866	Chesi, A. et al.	chr1	12638985	12639051	miRNA_primary_transcript	1	-	ID=MI0022575;Alias=MI0022575;Name=hsa-mir-6730
chr1	17182944	17185516	miRBase_v22_upstream_2k5	chr1	17185444	17185516	miRNA_primary_transcript	1	-	ID=MI0016076;Alias=MI0016076;Name=hsa-mir-3675
chr1	17604026	17604785	Chesi, A. et al.	chr1	17604384	17604470	miRNA_primary_transcript	1	+	ID=MI0016990;Alias=MI0016990;Name=hsa-mir-3972
chr1	19209714	19209907	Chesi, A. et al.	chr1	19209696	19209769	miRNA_primary_transcript	1	-	ID=MI0017328;Alias=MI0017328;Name=hsa-mir-4695
chr1	19221065	19223642	miRBase_v22_upstream_2k5	chr1	19223565	19223642	miRNA_primary_transcript	1	-	ID=MI0006352;Alias=MI0006352;Name=hsa-mir-1290
chr1	20959144	20960421	Chesi, A. et al.	chr1	20960172	20960281	miRNA_primary_transcript	1	+	ID=MI0020361;Alias=MI0020361;Name=hsa-mir-6084
chr1	21314747	21315253	Chesi, A. et al.	chr1	21314807	21314925	miRNA_primary_transcript	1	-	ID=MI0006390;Alias=MI0006390;Name=hsa-mir-1256
chr1	22591651	22594265	Chesi, A. et al.	chr1	22592732	22592793	miRNA_primary_transcript	1	+	ID=MI0016754;Alias=MI0016754;Name=hsa-mir-4418
chr1	22959698	22960404	Chesi, A. et al.	chr1	22959751	22959859	miRNA_primary_transcript	1	-	ID=MI0021271;Alias=MI0021271;Name=hsa-mir-6127
chr1	23045118	23046124	Chesi, A. et al.	chr1	23046010	23046091	miRNA_primary_transcript	1	+	ID=MI0017316;Alias=MI0017316;Name=hsa-mir-4684
chr1	23189141	23190601	Chesi, A. et al.	chr1	23189652	23189719	miRNA_primary_transcript	1	-	ID=MI0015860;Alias=MI0015860;Name=hsa-mir-4253
chr1	23370270	23371177	Chesi, A. et al.	chr1	23370798	23370865	miRNA_primary_transcript	1	+	ID=MI0014127;Alias=MI0014127;Name=hsa-mir-3115
chr1	24253060	24255637	miRBase_v22_upstream_2k5	chr1	24255560	24255637	miRNA_primary_transcript	1	+	ID=MI0016756;Alias=MI0016756;Name=hsa-mir-378f
chr1	25245338	25246188	Chesi, A. et al.	chr1	25245836	25245907	miRNA_primary_transcript	1	-	ID=MI0022576;Alias=MI0022576;Name=hsa-mir-6731
chr1	25349903	25350830	Chesi, A. et al.	chr1	25349994	25350077	miRNA_primary_transcript	1	+	ID=MI0016764;Alias=MI0016764;Name=hsa-mir-4425
chr1	26232641	26233640	Chesi, A. et al.	chr1	26232853	26232945	miRNA_primary_transcript	1	-	ID=MI0016423;Alias=MI0016423;Name=hsa-mir-3917
chr1	26880351	26881253	Chesi, A. et al.	chr1	26881033	26881084	miRNA_primary_transcript	1	+	ID=MI0009986;Alias=MI0009986;Name=hsa-mir-1976
chr1	31211530	31213146	Chesi, A. et al.	chr1	31212003	31212079	miRNA_primary_transcript	1	-	ID=MI0016757;Alias=MI0016757;Name=hsa-mir-4420
chr1	32224190	32224421	Chesi, A. et al.	chr1	32224261	32224336	miRNA_primary_transcript	1	-	ID=MI0015862;Alias=MI0015862;Name=hsa-mir-4254
chr1	32550050	32552608	miRBase_v22_upstream_2k5	chr1	32552550	32552608	miRNA_primary_transcript	1	+	ID=MI0019142;Alias=MI0019142;Name=hsa-mir-5585
chr1	33797920	33798293	Chesi, A. et al.	chr1	33797994	33798093	miRNA_primary_transcript	1	-	ID=MI0015995;Alias=MI0015995;Name=hsa-mir-3605
chr1	35134954	35135485	Chesi, A. et al.	chr1	35135200	35135295	miRNA_primary_transcript	1	-	ID=MI0003557;Alias=MI0003557;Name=hsa-mir-552
chr1	37626996	37627354	Chesi, A. et al.	chr1	37627164	37627235	miRNA_primary_transcript	1	+	ID=MI0015863;Alias=MI0015863;Name=hsa-mir-4255
