seID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	GSM733739.rep1.K27ac.Q20.noDup.sort.bam	GSM733697.rep1.Input.Q20.noDup.sort.bam	enhancerRank	isSuper
46_K27ac.rep1_peak_23267_lociStitched	chr15	67358274	67493307	46	93300	305876.7516	16190.4567	1	1
37_K27ac.rep1_peak_10711_lociStitched	chr11	12132324	12267157	37	93619	300502.3071	17622.6731	2	1
60_K27ac.rep1_peak_63954_lociStitched	chr7	134374482	134634267	60	92934	296986.212	36395.8785	3	1
48_K27ac.rep1_peak_22193_lociStitched	chr15	39391921	39615436	48	90209	288803.7315	32677.893	4	1
43_K27ac.rep1_peak_20531_lociStitched	chr14	61928648	62088035	43	72299	267658.5891	20784.0648	5	1
14_K27ac.rep1_peak_34480_lociStitched	chr2	47025151	47116592	14	54408	219851.5963	10149.951	6	1
20_K27ac.rep1_peak_16882_lociStitched	chr12	109192232	109251205	20	36138	215670.1583	6899.841	7	1
42_K27ac.rep1_peak_39087_lociStitched	chr2	238079516	238265888	42	59627	225342.3852	25234.7688	8	1
22_K27ac.rep1_peak_63828_lociStitched	chr7	130565488	130652257	22	52076	211785.7752	11713.815	9	1
54_K27ac.rep1_peak_48239_lociStitched	chr4	7780109	7941401	54	75453	214260.2928	18338.9004	10	1
25_K27ac.rep1_peak_61352_lociStitched	chr7	22599734	22711934	25	50031	201477.54	13946.46	11	1
25_K27ac.rep1_peak_19422_lociStitched	chr13	110953575	111077624	25	58500	199148.2646	15096.7633	12	1
27_K27ac.rep1_peak_54772_lociStitched	chr5	135313410	135402575	27	52441	195512.0955	12616.8475	13	1
29_K27ac.rep1_peak_46329_lociStitched	chr3	141049913	141196171	29	45995	196921.7712	17989.734	14	1
48_K27ac.rep1_peak_67153_lociStitched	chr8	118874836	119049499	48	61528	197089.7292	23631.9039	15	1
34_K27ac.rep1_peak_38319_lociStitched	chr2	216516446	216661895	34	56756	193578.0741	20624.6682	16	1
17_K27ac.rep1_peak_21957_lociStitched	chr15	33109764	33170344	17	38016	173464.772	8699.288	17	1
